Date,Open,High,Low,Close,Volume
1/2/2014 16:00:00,183.98,184.07,182.48,182.92,119636836
1/3/2014 16:00:00,183.21,183.6,182.63,182.89,81390502
1/6/2014 16:00:00,183.47,183.56,182.08,182.36,108028139
1/7/2014 16:00:00,183.09,183.79,182.95,183.48,86144169
1/8/2014 16:00:00,183.45,183.83,182.89,183.52,96582234
1/9/2014 16:00:00,184.1,184.13,182.8,183.64,90683302
1/10/2014 16:00:00,183.95,184.22,183.01,184.14,102026318
1/13/2014 16:00:00,183.71,184.18,181.34,181.69,149891938
1/14/2014 16:00:00,182.28,183.77,181.95,183.67,105016055
1/15/2014 16:00:00,184.1,184.94,183.71,184.66,98525721
1/16/2014 16:00:00,184.28,184.66,183.83,184.42,72290520
1/17/2014 16:00:00,184.1,184.45,183.32,183.64,107848616
1/21/2014 16:00:00,184.7,184.77,183.05,184.18,88621138
1/22/2014 16:00:00,184.49,184.57,183.91,184.3,61270816
1/23/2014 16:00:00,183.36,183.4,181.82,182.79,132496880
1/24/2014 16:00:00,181.6,181.66,178.83,178.89,208677093
1/27/2014 16:00:00,179.06,179.52,177.12,178.01,180843004
1/28/2014 16:00:00,178.14,179.3,178.12,179.07,110463152
1/29/2014 16:00:00,177.56,178.55,176.88,177.35,216597269
1/30/2014 16:00:00,178.86,179.81,178.26,179.23,118938051
1/31/2014 16:00:00,177.02,179.29,176.92,178.18,194677861
2/3/2014 16:00:00,177.95,178.37,173.83,174.17,254837004
2/4/2014 16:00:00,174.95,175.84,174.11,175.39,165012351
2/5/2014 16:00:00,174.79,175.56,173.71,175.17,164230470
2/6/2014 16:00:00,175.58,177.48,175.22,177.48,132877526
2/7/2014 16:00:00,178.31,179.87,177.73,179.68,170787197
2/10/2014 16:00:00,179.7,180.07,179.21,180.01,92218729
2/11/2014 16:00:00,180.16,182.44,180.04,181.98,117814009
2/12/2014 16:00:00,182.22,182.83,181.71,182.07,94717638
2/13/2014 16:00:00,180.84,183.2,180.83,183.01,100542155
2/14/2014 16:00:00,182.84,184.36,182.67,184.02,96498305
2/18/2014 16:00:00,184.19,184.49,183.65,184.24,80460878
2/19/2014 16:00:00,183.76,184.95,182.87,183.02,126524261
2/20/2014 16:00:00,183.27,184.52,182.6,184.1,104998099
2/21/2014 16:00:00,184.49,184.89,183.8,183.89,118116359
2/24/2014 16:00:00,184.28,186.15,184.2,184.91,114063868
2/25/2014 16:00:00,185.03,185.59,184.23,184.84,117084901
2/26/2014 16:00:00,185.11,185.6,184.33,184.85,98677144
2/27/2014 16:00:00,184.59,185.87,184.37,185.82,93880780
2/28/2014 16:00:00,185.79,187.15,185.05,186.29,150842000
3/3/2014 16:00:00,184.69,185.45,183.75,184.98,167748455
3/4/2014 16:00:00,186.75,187.98,186.75,187.58,167545852
3/5/2014 16:00:00,187.72,188.07,187.45,187.75,88376859
3/6/2014 16:00:00,188.21,188.61,187.78,188.18,82516500
3/7/2014 16:00:00,188.87,188.96,187.43,188.26,114513432
3/10/2014 16:00:00,187.94,188.23,187.08,188.16,74939176
3/11/2014 16:00:00,188.44,188.71,186.8,187.23,99009013
3/12/2014 16:00:00,186.32,187.35,185.9,187.28,104824323
3/13/2014 16:00:00,187.84,187.99,184.66,185.18,155014237
3/14/2014 16:00:00,184.8,185.8,184.44,184.66,153919598
3/17/2014 16:00:00,185.59,186.77,185.51,186.33,98359454
3/18/2014 16:00:00,186.71,187.91,186.51,187.66,101804519
3/19/2014 16:00:00,187.7,187.94,185.47,186.66,176267253
3/20/2014 16:00:00,186.25,187.89,185.92,187.75,117240972
3/21/2014 16:00:00,187.72,189.02,186.03,186.2,163127905
